3,,CRITERIOS DE EVALUACIÓN,NUMERAC,DONDE SE EXPLICA CADA CRITERIO DE EVAL.,,,,DONDE SE PREGUNTA CADA CRITERIO DE EVALUACIÓN,,,,,,,LISTADO DE ELEMENTOS,,,MARCA CADA,,PONDERACIÓN DE CADA INSTRUMENTO DE EVAL.,,100%,PONDERACIÓN
,,,NOMENCLA,"UNIDADES DE TRABAJO, APUNTES, DOCUMENTOS",,,,PRUEBA 1,PRUEBA 2,PRUEBA 3,PRUEBA 4,PRUEBA 5,PRUEBA 6,,TEMAS,EVAL,INSTRUMENTOS,TIPO DE INST.,,TIPO DE INSTRUMENTO,VALOR DE CADA UNO,UTILIZADOS,INDIVIDUAL
1,R.A.1,a) Se ha comprobado la correcta instalación de las aplicaciones informáticas y su funcionamiento.,1.A,16,,,,TRABAJO1,,,,,,,1,PRIMERA,EXAMEN1,EXAMEN,,EXAMEN,70%,6,"11,67%"
,,"b) Se han seleccionado las prestaciones, funciones y procedimientos de las aplicaciones informáticas que se deben emplear para la contabilización.",1.B,16,,,,TRABAJO1,,,,,,,2,,EXAMEN2,EXAMEN,,TRABAJO,15%,7,"2,14%"
,,"c) Se han caracterizado las definiciones y las relaciones contables fundamentales establecidas en los grupos, subgrupos y cuentas principales del PGC.",1.C,1,,,,CUESTIONARIO1,,,,,,,3,,EXAMEN3,EXAMEN,,CUESTIONARIO,5%,2,"2,50%"
,,"d) Se han registrado, en asientos por partida doble, las operaciones más habituales relacionadas con los grupos de cuentas descritos anteriormente.",1.D,1,2,,,CUESTIONARIO1,TRABAJO2,EXAMEN4,,,,,4,,,,,FFEOE,10%,1,"10,00%"
,,"e) Se han clasificado los diferentes tipos de documentos mercantiles que exige el PGC, indicando la clase de operación que representan.",1.E,2,,,,FFEOE,,,,,,,5,,TRABAJO1,TRABAJO,,,,0,
,,f) Se ha verificado el traspaso de la información entre las distintas fuentes de datos contables.,1.F,16,,,,FFEOE,,,,,,,6,,TRABAJO2,TRABAJO,,,,0,
,,g) Se ha identificado la estructura y forma de elaboración del balance de comprobación de sumas y saldos.,1.G,11,,,,TRABAJO3,,,,,,,7,,TRABAJO3,TRABAJO,,,,0,
,,h) Se han realizado copias de seguridad para la salvaguarda de los datos.,1.H,,,,,FFEOE,,,,,,,8,,TRABAJO4,TRABAJO,,,,0,
,,,1.I,,,,,,,,,,,,,,CUESTIONARIO1,CUESTIONARIO,,,,0,
,,,1.J,,,,,,,,,,,,,,,,,,,0,
,,,1.K,,,,,,,,,,,,,,,,,,,0,
,,,1.L,,,,,,,,,,,,,,,,,,,0,
,,,1.M,,,,,,,,,,,,,,,,,,,0,
,,,1.N,,,,,,,,,,,,,,,,,,,0,
,,,1.Ñ,,,,,,,,,,,,,,,,,,,0,
,,,1.O,,,,,,,,,,,,,,,,,,,,
,,,1.P,,,,,,,,,,,,,,,,,,,,
,,,1.Q,,,,,,,,,,,,,,,,,,,,
,,,1.R,,,,,,,,,,,,,,,,,,,,
,,,1.S,,,,,,,,,,,,,,,,,,,,
2,R.A.2,a) Se ha analizado la normativa fiscal vigente y las normas aplicables en cada tipo de impuesto.,2.A,16,,,,,,,,,,,9,SEGUNDA,EXAMEN5,EXAMEN,,,,,
,,b) Se han realizado los cálculos oportunos para cuantificar los elementos tributarios de los impuestos que gravan la actividad económica.,2.B,8,,,,,,,,,,,10,,EXAMEN6,EXAMEN,,,,,
,,c) Se han relacionado los conceptos contables con los aspectos tributarios.,2.C,9,10,,,,,,,,,,11,,EXAMEN7,EXAMEN,,,,,
,,d) Se ha diferenciado entre resultado contable y resultado fiscal y se han especificado los procedimientos para la conciliación de ambos.,2.D,9,11,,,TRABAJO3,,,,,,,12,,TRABAJO5,TRABAJO,,,,,
,,"e) Se han contabilizado los hechos contables relacionados con el cumplimiento de las obligaciones fiscales, incluyendo los ajustes fiscales correspondientes.",2.E,9,11,,,TRABAJO3,,,,,,,13,,TRABAJO6,TRABAJO,,,,,
,,f) Se han identificado los plazos establecidos por la Hacienda Pública para cumplir con las obligaciones fiscales.,2.F,9,11,,,,,,,,,,14,,TRABAJO7,TRABAJO,,,,,
,,g) Se han seleccionado los modelos establecidos por la Hacienda Pública para atender el procedimiento de declaración-liquidación de los distintos impuestos.,2.G,9,10,,,,,,,,,,15,,CUESTIONARIO2,CUESTIONARIO,,,,,
,,"h) Se ha cumplimentado la documentación correspondiente a la declaración-liquidación de los distintos impuestos, utilizando aplicaciones informáticas de gestión fiscal.",2.H,9,10,,,,,,,,,,16,,,,,,,,
,,"i) Se han generado los ficheros necesarios para la presentación telemática de los impuestos, valorando la eficiencia de esta vía.",2.I,9,10,,,,,,,,,,,,,,,,,,
,,"j) Se han descrito y cuantificado, en su caso, las consecuencias de la falta de rigor en el cumplimiento de las obligaciones fiscales.",2.J,9,10,,,,,,,,,,,,,,,,,,
,,,2.K,,,,,,,,,,,,,,,,,,,,
,,,2.L,,,,,,,,,,,,,,,,,,,,
,,,2.M,,,,,,,,,,,,,,,,,,,,
,,,2.N,,,,,,,,,,,,,,,,,,,,
,,,2.Ñ,,,,,,,,,,,,,,,,,,,,
,,,2.O,,,,,,,,,,,,,,,,,,,,
,,,2.P,,,,,,,,,,,,,,,,,,,,
,,,2.Q,,,,,,,,,,,,,,,,,,,,
,,,2.R,,,,,,,,,,,,,,,,,,,,
,,,2.S,,,,,,,,,,,,,,,,,,,,
3,R.A.3,"a) Se han registrado en soporte informático los hechos contables y fiscales que se generan en un ciclo económico completo, contenidos en los documentos soportes.",3.A,9,10,,,,,,,,,,,TERCERA,FFEOE,FFEOE,,,,,
,,b) Se han calculado y contabilizado las correcciones de valor que procedan.,3.B,2,2,,,,,,,,,,,,,,,,,,
,,c) Se han reconocido los métodos de amortización más habituales.,3.C,11,,,,,,,,,,,,,,,,,,,
,,d) Se han realizado los cálculos derivados de la amortización del inmovilizado.,3.D,4,,,,,,,,,,,,,,,,,,,
,,e) Se han dotado las amortizaciones que procedan según la amortización técnica propuesta.,3.E,4,,,,,,,,,,,,,,,,,,,
,,f) Se han realizado los asientos derivados de la periodificación contable.,3.F,7,,,,,,,,,,,,,,,,,,,
,,g) Se ha obtenido el resultado por medio del proceso de regularización.,3.G,11,,,,TRABAJO3,,,,,,,,,,,,,,,
,,h) Se ha registrado la distribución del resultado según las normas y las indicaciones propuestas.,3.H,11,,,,TRABAJO3,,,,,,,,,,,,,,,
,,i) Se han registrado en los libros obligatorios de la empresa todas las operaciones derivadas del ejercicio económico que sean necesarias.,3.I,6,,,,TRABAJO3,,,,,,,,,,,,,,,
,,j) Se han realizado copias de seguridad para la salvaguarda de los datos.,3.J,12,,,,,,,,,,,,,,,,,,,
,,,3.K,,,,,,,,,,,,,,,,,,,,
,,,3.L,,,,,,,,,,,,,,,,,,,,
,,,3.M,,,,,,,,,,,,,,,,,,,,
,,,3.N,,,,,,,,,,,,,,,,,,,,
,,,3.Ñ,,,,,,,,,,,,,,,,,,,,
,,,3.O,,,,,,,,,,,,,,,,,,,,
,,,3.P,,,,,,,,,,,,,,,,,,,,
,,,3.Q,,,,,,,,,,,,,,,,,,,,
,,,3.R,,,,,,,,,,,,,,,,,,,,
,,,3.S,,,,,,,,,,,,,,,,,,,,
4,R.A.4,"a) Se ha determinado la estructura del balance de situación, indicando las relaciones entre los diferentes epígrafes.",4.A,1,16,,,CUESTIONARIO1,,,,,,,,,,,,,,,
,,"b) Se ha determinado la estructura de la cuenta de pérdidas y ganancias, diferenciando los distintos tipos de resultado que integran.",4.B,1,12,,,CUESTIONARIO1,,,,,,,,,,,,,,,
,,"c) Se ha establecido la estructura de la memoria, estado de cambios en el patrimonio y estado de flujos de efectivo.",4.C,1,12,,,CUESTIONARIO1,,,,,,,,,,,,,,,
,,d) Se han confeccionado las cuentas anuales aplicando los criterios del PGA.,4.D,1,12,,,CUESTIONARIO1,,,,,,,,,,,,,,,
,,e) Se han determinado los libros contables objeto de legalización para su presentación ante los organismos correspondientes.,4.E,1,12,,,CUESTIONARIO1,,,,,,,,,,,,,,,
,,f) Se han verificado los plazos de presentación legalmente establecidos en los organismos oficiales correspondientes.,4.F,1,12,,,CUESTIONARIO1,,,,,,,,,,,,,,,
,,g) Se han cumplimentado los formularios de acuerdo con la legislación mercantil y se han utilizado aplicaciones informáticas.,4.G,12,,,,,,,,,,,,,,,,,,,
,,h) Se ha comprobado la veracidad e integridad de la información contenida en los ficheros generados por la aplicación informática.,4.H,16,,,,,,,,,,,,,,,,,,,
,,i) Se ha valorado la importancia de las cuentas anuales como instrumentos de comunicación interna y externa y de información pública.,4.I,16,,,,,,,,,,,,,,,,,,,
,,j) Se han realizado copias de seguridad para la salvaguarda de los datos.,4.J,12,,,,,,,,,,,,,,,,,,,
,,k) Se ha valorado la aplicación de las normas de protección de datos en el proceso contable.,4.K,16,,,,,,,,,,,,,,,,,,,
,,,4.L,,,,,,,,,,,,,,,,,,,,
,,,4.M,,,,,,,,,,,,,,,,,,,,
,,,4.N,,,,,,,,,,,,,,,,,,,,
,,,4.Ñ,,,,,,,,,,,,,,,,,,,,
,,,4.O,,,,,,,,,,,,,,,,,,,,
,,,4.P,,,,,,,,,,,,,,,,,,,,
,,,4.Q,,,,,,,,,,,,,,,,,,,,
,,,4.R,,,,,,,,,,,,,,,,,,,,
,,,4.S,,,,,,,,,,,,,,,,,,,,
5,R.A.5,"a) Se han definido las funciones de los análisis económico-financiero, patrimonial y de tendencia y proyección, estableciendo sus diferencias.",5.A,16,,,,,,,,,,,,,,,,,,,
,,b) Se ha seleccionado la información relevante para el análisis de los estados contables que la proporcionan.,5.B,13,,,,,,,,,,,,,,,,,,,
,,c) Se han identificado los instrumentos de análisis más significativos y se ha descrito su función.,5.C,13,,,,,,,,,,,,,,,,,,,
,,"d) Se han calculado las diferencias, porcentajes, índices y ratios más relevantes para el análisis económico, financiero y de tendencia y proyección.",5.D,13,,,,,,,,,,,,,,,,,,,
,,"e) Se ha realizado un informe sobre la situación económica-financiera de la empresa, derivada de los cálculos realizados, comparándola con los ejercicios anteriores y con la media del sector.",5.E,13,,,,,,,,,,,,,,,,,,,
,,"f) Se han obtenido conclusiones con respecto a la liquidez, solvencia, estructura financiera y rentabilidades de la empresa.",5.F,13,,,,,,,,,,,,,,,,,,,
,,g) Se ha valorado la importancia del análisis de los estados contables para la toma de decisiones en la empresa y su repercusión con respecto a los implicados en la misma (“stakeholders”).,5.G,13,,,,,,,,,,,,,,,,,,,
,,,5.H,,,,,,,,,,,,,,,,,,,,
,,,5.I,,,,,,,,,,,,,,,,,,,,
,,,5.J,,,,,,,,,,,,,,,,,,,,
,,,5.K,,,,,,,,,,,,,,,,,,,,
,,,5.L,,,,,,,,,,,,,,,,,,,,
,,,5.M,,,,,,,,,,,,,,,,,,,,
,,,5.N,,,,,,,,,,,,,,,,,,,,
,,,5.Ñ,,,,,,,,,,,,,,,,,,,,
,,,5.O,,,,,,,,,,,,,,,,,,,,
,,,5.P,,,,,,,,,,,,,,,,,,,,
,,,5.Q,,,,,,,,,,,,,,,,,,,,
,,,5.R,,,,,,,,,,,,,,,,,,,,
,,,5.S,,,,,,,,,,,,,,,,,,,,
6,R.A.6,"a) Se ha delimitado el concepto de auditoría, sus clases (interna y externa) y el propósito de esta.",6.A,13,,,,,,,,,,,,,,,,,,,
,,b) Se han señalado los órganos y normativa vigente que atañe a la auditoría en España.,6.B,15,,,,,,,,,,,,,,,,,,,
,,c) Se han verificado las facultades y responsabilidades de los auditores.,6.C,15,,,,,,,,,,,,,,,,,,,
,,d) Se han secuenciado las diferentes fases de un proceso de auditoría y los flujos de información que se generan en cada uno de ellos.,6.D,15,,,,,,,,,,,,,,,,,,,
,,e) Se han determinado las partes de un informe de auditoría.,6.E,15,,,,,,,,,,,,,,,,,,,
,,f) Se ha valorado la importancia de la obligatoriedad de un proceso de auditoría.,6.F,15,,,,,,,,,,,,,,,,,,,
,,g) Se ha valorado la importancia de la colaboración del personal de la empresa en un proceso de auditoría.,6.G,15,,,,,,,,,,,,,,,,,,,
,,"h) Se han reconocido las tareas que deben realizarse por parte de la empresa en un proceso de auditoría, tanto interna como externa.",6.H,15,,,,,,,,,,,,,,,,,,,
,,i) Se han contabilizado los ajustes y correcciones contables derivados de propuestas del informe de auditoría.,6.I,11,12,15,,TRABAJO3,,,,,,,,,,,,,,,
,,,6.J,,,,,,,,,,,,,,,,,,,,
,,,6.K,,,,,,,,,,,,,,,,,,,,
,,,6.L,,,,,,,,,,,,,,,,,,,,
,,,6.M,,,,,,,,,,,,,,,,,,,,
,,,6.N,,,,,,,,,,,,,,,,,,,,
,,,6.Ñ,,,,,,,,,,,,,,,,,,,,
,,,6.O,,,,,,,,,,,,,,,,,,,,
,,,6.P,,,,,,,,,,,,,,,,,,,,
,,,6.Q,,,,,,,,,,,,,,,,,,,,
,,,6.R,,,,,,,,,,,,,,,,,,,,
,,,6.S,,,,,,,,,,,,,,,,,,,,
7,R.A.7,Copia aquí los C.E. del R.A. 7,7.A,,,,,,,,,,,,,,,,,,,,
,,,7.B,,,,,,,,,,,,,,,,,,,,
,,,7.C,,,,,,,,,,,,,,,,,,,,
,,,7.D,,,,,,,,,,,,,,,,,,,,
,,,7.E,,,,,,,,,,,,,,,,,,,,
,,,7.F,,,,,,,,,,,,,,,,,,,,
,,,7.G,,,,,,,,,,,,,,,,,,,,
,,,7.H,,,,,,,,,,,,,,,,,,,,
,,,7.I,,,,,,,,,,,,,,,,,,,,
,,,7.J,,,,,,,,,,,,,,,,,,,,
,,,7.K,,,,,,,,,,,,,,,,,,,,
,,,7.L,,,,,,,,,,,,,,,,,,,,
,,,7.M,,,,,,,,,,,,,,,,,,,,
,,,7.N,,,,,,,,,,,,,,,,,,,,
,,,7.Ñ,,,,,,,,,,,,,,,,,,,,
,,,7.O,,,,,,,,,,,,,,,,,,,,
,,,7.P,,,,,,,,,,,,,,,,,,,,
,,,7.Q,,,,,,,,,,,,,,,,,,,,
,,,7.R,,,,,,,,,,,,,,,,,,,,
,,,7.S,,,,,,,,,,,,,,,,,,,,
8,R.A.8,Copia aquí los C.E. del R.A. 8,8.A,,,,,,,,,,,,,,,,,,,,
,,,8.B,,,,,,,,,,,,,,,,,,,,
,,,8.C,,,,,,,,,,,,,,,,,,,,
,,,8.D,,,,,,,,,,,,,,,,,,,,
,,,8.E,,,,,,,,,,,,,,,,,,,,
,,,8.F,,,,,,,,,,,,,,,,,,,,
,,,8.G,,,,,,,,,,,,,,,,,,,,
,,,8.H,,,,,,,,,,,,,,,,,,,,
,,,8.I,,,,,,,,,,,,,,,,,,,,
,,,8.J,,,,,,,,,,,,,,,,,,,,
,,,8.K,,,,,,,,,,,,,,,,,,,,
,,,8.L,,,,,,,,,,,,,,,,,,,,
,,,8.M,,,,,,,,,,,,,,,,,,,,
,,,8.N,,,,,,,,,,,,,,,,,,,,
,,,8.Ñ,,,,,,,,,,,,,,,,,,,,
,,,8.O,,,,,,,,,,,,,,,,,,,,
,,,8.P,,,,,,,,,,,,,,,,,,,,
,,,8.Q,,,,,,,,,,,,,,,,,,,,
,,,8.R,,,,,,,,,,,,,,,,,,,,
,,,8.S,,,,,,,,,,,,,,,,,,,,
9,R.A.9,Copia aquí los C.E. del R.A. 9,9.A,,,,,,,,,,,,,,,,,,,,
,,,9.B,,,,,,,,,,,,,,,,,,,,
,,,9.C,,,,,,,,,,,,,,,,,,,,
,,,9.D,,,,,,,,,,,,,,,,,,,,
,,,9.E,,,,,,,,,,,,,,,,,,,,
,,,9.F,,,,,,,,,,,,,,,,,,,,
,,,9.G,,,,,,,,,,,,,,,,,,,,
,,,9.H,,,,,,,,,,,,,,,,,,,,
,,,9.I,,,,,,,,,,,,,,,,,,,,
,,,9.J,,,,,,,,,,,,,,,,,,,,
,,,9.K,,,,,,,,,,,,,,,,,,,,
,,,9.L,,,,,,,,,,,,,,,,,,,,
,,,9.M,,,,,,,,,,,,,,,,,,,,
,,,9.N,,,,,,,,,,,,,,,,,,,,
,,,9.Ñ,,,,,,,,,,,,,,,,,,,,
,,,9.O,,,,,,,,,,,,,,,,,,,,
,,,9.P,,,,,,,,,,,,,,,,,,,,
,,,9.Q,,,,,,,,,,,,,,,,,,,,
,,,9.R,,,,,,,,,,,,,,,,,,,,
,,,9.S,,,,,,,,,,,,,,,,,,,,
10,R.A.10,Copia aquí los C.E. del R.A. 10,10.A,,,,,,,,,,,,,,,,,,,,
,,,10.B,,,,,,,,,,,,,,,,,,,,
,,,10.C,,,,,,,,,,,,,,,,,,,,
,,,10.D,,,,,,,,,,,,,,,,,,,,
,,,10.E,,,,,,,,,,,,,,,,,,,,
,,,10.F,,,,,,,,,,,,,,,,,,,,
,,,10.G,,,,,,,,,,,,,,,,,,,,
,,,10.H,,,,,,,,,,,,,,,,,,,,
,,,10.I,,,,,,,,,,,,,,,,,,,,
,,,10.J,,,,,,,,,,,,,,,,,,,,
,,,10.K,,,,,,,,,,,,,,,,,,,,
,,,10.L,,,,,,,,,,,,,,,,,,,,
,,,10.M,,,,,,,,,,,,,,,,,,,,
,,,10.N,,,,,,,,,,,,,,,,,,,,
,,,10.Ñ,,,,,,,,,,,,,,,,,,,,
,,,10.O,,,,,,,,,,,,,,,,,,,,
,,,10.P,,,,,,,,,,,,,,,,,,,,
,,,10.Q,,,,,,,,,,,,,,,,,,,,
,,,10.R,,,,,,,,,,,,,,,,,,,,
,,,10.S,,,,,,,,,,,,,,,,,,,,